district_number,district_name,school_number,school_name,year,subgroup,denominator,percent_ca,percent_ca_previous,baseline_year
0,State of Tennessee,0,,2018,All Students,990159,13.3,*,
0,State of Tennessee,0,,2018,Black/Hispanic/Native,343100,14.9,*,
0,State of Tennessee,0,,2018,Economically Disadvantaged,360801,21.2,*,
0,State of Tennessee,0,,2018,English Learners,54680,10.3,*,
0,State of Tennessee,0,,2018,Students with Disabilities,135431,19.0,*,
10,Anderson County Schools,0,,2018,All Students,6291,16.7,12,2017
10,Anderson County Schools,0,,2018,Black/Hispanic/Native,340,18.5,14.2,2017
10,Anderson County Schools,0,,2018,Economically Disadvantaged,2395,27.1,19.7,2017
10,Anderson County Schools,0,,2018,English Learners,24,8.3,7.1,2017
10,Anderson County Schools,0,,2018,Students with Disabilities,1114,19.7,15.4,2017
10,Anderson County Schools,2,Anderson County High School,2018,All Students,1048,18.3,11.5,2017
10,Anderson County Schools,2,Anderson County High School,2018,Black/Hispanic/Native,0,*,*,
10,Anderson County Schools,2,Anderson County High School,2018,Economically Disadvantaged,244,33.6,22,2017
10,Anderson County Schools,2,Anderson County High School,2018,English Learners,0,*,*,
10,Anderson County Schools,2,Anderson County High School,2018,Students with Disabilities,121,25.6,19.2,2017
10,Anderson County Schools,5,Andersonville Elementary,2018,All Students,302,10.6,8.4,2017
10,Anderson County Schools,5,Andersonville Elementary,2018,Black/Hispanic/Native,0,*,*,
10,Anderson County Schools,5,Andersonville Elementary,2018,Economically Disadvantaged,111,19.8,15.7,2017
10,Anderson County Schools,5,Andersonville Elementary,2018,English Learners,0,*,*,
10,Anderson County Schools,5,Andersonville Elementary,2018,Students with Disabilities,61,6.6,19.1,2017
10,Anderson County Schools,10,Briceville Elementary,2018,All Students,113,23.0,9.9,2017
10,Anderson County Schools,10,Briceville Elementary,2018,Black/Hispanic/Native,0,*,*,
10,Anderson County Schools,10,Briceville Elementary,2018,Economically Disadvantaged,70,22.9,9.5,2017
10,Anderson County Schools,10,Briceville Elementary,2018,English Learners,,*,*,
10,Anderson County Schools,10,Briceville Elementary,2018,Students with Disabilities,37,29.7,12.9,2017
10,Anderson County Schools,15,Claxton Elementary,2018,All Students,457,21.2,12.4,2017
10,Anderson County Schools,15,Claxton Elementary,2018,Black/Hispanic/Native,40,27.5,14.6,2017
10,Anderson County Schools,15,Claxton Elementary,2018,Economically Disadvantaged,257,26.8,17.9,2017
10,Anderson County Schools,15,Claxton Elementary,2018,English Learners,0,*,*,
10,Anderson County Schools,15,Claxton Elementary,2018,Students with Disabilities,99,26.3,15.5,2017
10,Anderson County Schools,20,Clinton Middle School,2018,All Students,663,19.3,15.5,2017
10,Anderson County Schools,20,Clinton Middle School,2018,Black/Hispanic/Native,51,17.6,13.2,2017
10,Anderson County Schools,20,Clinton Middle School,2018,Economically Disadvantaged,261,34.5,25.2,2017
10,Anderson County Schools,20,Clinton Middle School,2018,English Learners,0,*,*,
10,Anderson County Schools,20,Clinton Middle School,2018,Students with Disabilities,111,26.1,20,2017
10,Anderson County Schools,25,Clinton High School,2018,All Students,1166,21.8,16.8,2017
10,Anderson County Schools,25,Clinton High School,2018,Black/Hispanic/Native,96,26.0,18.6,2017
10,Anderson County Schools,25,Clinton High School,2018,Economically Disadvantaged,418,34.4,27.7,2017
10,Anderson County Schools,25,Clinton High School,2018,English Learners,0,*,*,
10,Anderson County Schools,25,Clinton High School,2018,Students with Disabilities,177,27.7,21.3,2017
10,Anderson County Schools,35,Dutch Valley Elementary,2018,All Students,106,14.2,13.9,2017
10,Anderson County Schools,35,Dutch Valley Elementary,2018,Black/Hispanic/Native,0,*,*,
10,Anderson County Schools,35,Dutch Valley Elementary,2018,Economically Disadvantaged,55,23.6,16.1,2017
10,Anderson County Schools,35,Dutch Valley Elementary,2018,English Learners,0,*,*,
10,Anderson County Schools,35,Dutch Valley Elementary,2018,Students with Disabilities,0,*,*,
10,Anderson County Schools,40,Fairview Elementary,2018,All Students,293,6.8,4.4,2017
10,Anderson County Schools,40,Fairview Elementary,2018,Black/Hispanic/Native,0,*,*,
10,Anderson County Schools,40,Fairview Elementary,2018,Economically Disadvantaged,122,11.5,6.8,2017
